"","LogDurationA","LogDurationW","Lemma","Participant","Cond","Exponent","Frequency"
"579786",-1.64507854697024,-0.510808957238216,"zahn","Art_02_S23","slow","t",-7.53739429132134
"9267",-1.70779061550512,-0.533925409815121,"faseln","Art_02_S23","slow","en",-6.64144355246975
"9297",-1.86390599237954,-0.400462641335345,"tafeln","Art_02_S23","slow","en",-6.96970320162464
"9258",-1.6268827386637,-0.616167621076773,"bahn","Art_02_S23","slow","en",-5.79293123007552
"9285",-1.75056243168709,-0.544709934210965,"latsch","Art_02_S23","slow","n",-6.73180479259076
"9367",-1.95038977399102,-0.394308618023669,"tafeln","Art_02_S23","fast","en",-6.96970320162464
"9313",-1.55189774239215,-0.53068600713993,"bahn","Art_02_S23","fast","en",-5.79293123007552
"9357",-1.8569123566846,-0.597818819102712,"latsch","Art_02_S23","fast","n",-6.73180479259076
"736886",-1.65450949599689,-0.673324945612871,"zahn","Art_02_S23","fast","t",-7.53739429132134
"9339",-1.72590172714846,-0.478019672040824,"faseln","Art_02_S23","fast","en",-6.64144355246975
"9400",-1.82597233781827,-0.673324945612857,"schab","Art_02_S23","slow","n",-6.69772500301848
"370488",-1.6446167030571,-0.54470993421099,"zahl","Art_02_S23","slow","t",-4.75377031078047
"9440",-2.01831547463499,-0.579873063641793,"tadeln","Art_02_S23","slow","en",-6.2027657386056
"9380",-1.61824876636437,-0.63485940468943,"bad","Art_02_S23","slow","n",-5.41767949883663
"757387",-1.67562877917784,-0.415500292561276,"blas","Art_02_S23","slow","t",-7.50118211866689
"9452",-1.7067748394749,-0.478019672040801,"zahl","Art_02_S23","slow","en",-4.27548008148666
"9416",-1.80716027598982,-0.400462641335366,"stapeln","Art_02_S23","slow","n",-5.92048517895446
"9470",-1.5843842768967,-0.509153239589271,"zahn","Art_02_S23","slow","en",-7.59809213167495
"1558647",-1.51942475093999,-0.755001307908627,"mahn","Art_02_S23","slow","t",-5.54965032812455
"9550",-1.61149299390118,-0.41953639440781,"zahn","Art_02_S23","fast","en",-7.59809213167495
"9501",-2.00912182142805,-0.342476224538914,"stapeln","Art_02_S23","fast","n",-5.92048517895446
"419489",-1.77024526281468,-0.61616762107676,"zahl","Art_02_S23","fast","t",-4.75377031078047
"445691",-1.76149622456079,-0.843946814750964,"mahn","Art_02_S23","fast","t",-5.54965032812455
"9483",-1.72717781216785,-0.630505739641393,"bad","Art_02_S23","fast","en",-5.41767949883663
"810790",-1.53267318674988,-0.579800638269512,"schlaf","Art_02_S23","fast","t",-6.75924304093769
"9530",-1.93470507005263,-0.582185772342144,"zahl","Art_02_S23","fast","en",-4.27548008148666
"9514",-1.83808722905394,-0.550492542672679,"tadeln","Art_02_S23","fast","en",-6.2027657386056
"9590",-1.6837977215481,-0.415500292561298,"fahnd","Art_02_S24","slow","n",-6.14938581176987
"9609",-1.50335452512719,-0.562101374447778,"lahm","Art_02_S24","slow","en",-6.26363838052402
"9564",-1.36569692987245,-0.400462641335366,"blas","Art_02_S24","slow","n",-5.74075963524368
"9632",-1.38377001174353,-0.466671230690576,"mahn","Art_02_S24","slow","en",-5.81383154910887
"9658",-1.4050038499299,-0.448895933094183,"schad","Art_02_S24","slow","n",-4.99646665212101
"9683",-1.65148747935381,-0.314697046303379,"schlaf","Art_02_S24","slow","en",-4.67630164601676
"16981104",-1.53848956282871,-0.63485940468943,"lahm","Art_02_S24","slow","t",-6.46936984733652
"1743350",-1.74570236114478,-0.105349404608433,"schab","Art_02_S24","slow","t",-6.98004403496286
"9702",-1.51412773262978,-0.478019672040847,"wat","Art_02_S24","slow","n",-6.42783041627999
"1878048",-1.4543553354065,-0.462019586706663,"bahn","Art_02_S24","slow","t",-5.76271867920494
"9792",-1.77978531601631,-0.0214022108086951,"schlaf","Art_02_S24","fast","n",-4.67630164601676
"9809",-1.61925193615967,-0.597818819102725,"wat","Art_02_S24","fast","n",-6.42783041627999
"9776",-1.7945680964416,-0.709120733496236,"mahn","Art_02_S24","fast","en",-5.81383154910887
"9724",-1.55047383837145,-0.546450064445796,"blas","Art_02_S24","fast","n",-5.74075963524368
"612891",-1.75469655345733,-0.63485940468943,"schab","Art_02_S24","fast","t",-6.98004403496286
"9745",-1.90340687647575,-0.515972192070152,"fahnd","Art_02_S24","fast","en",-6.14938581176987
"6381130",-1.66619320491347,-0.301091579361717,"bahn","Art_02_S24","fast","t",-5.76271867920494
"9760",-1.80925881185157,-0.847411111673188,"lahm","Art_02_S24","fast","n",-6.26363838052402
"11751129",-1.82174870788339,-0.446271477750483,"lahm","Art_02_S24","fast","t",-6.46936984733652
"9829",-1.4741801210322,-0.370298282528001,"bahn","Art_02_S24","slow","en",-5.79293123007552
"9873",-1.70682363849921,-0.454739002582807,"latsch","Art_02_S24","slow","n",-6.73180479259076
"9851",-1.5234442240187,-0.261351777205771,"faseln","Art_02_S24","slow","en",-6.64144355246975
"9891",-1.83355052087483,-0.232361135540896,"tafeln","Art_02_S24","slow","en",-6.96970320162464
"1994949",-1.69679882147967,-0.385647775037747,"zahn","Art_02_S24","slow","t",-7.53739429132134
"929308",-1.66114864982084,-0.579800638269522,"zahn","Art_02_S24","fast","t",-7.53739429132134
"9907",-1.66829341923782,-0.733948341963878,"bahn","Art_02_S24","fast","en",-5.79293123007552
"9960",-1.93766894008226,-0.430767531595414,"tafeln","Art_02_S24","fast","en",-6.96970320162464
"9944",-1.83924952553529,-0.494279928506524,"latsch","Art_02_S24","fast","en",-6.73180479259076
"9926",-1.68992658920838,-0.562101374447765,"faseln","Art_02_S24","fast","n",-6.64144355246975
"9998",-1.58595821989736,-0.579800638269525,"schab","Art_02_S24","slow","n",-6.69772500301848
"10036",-1.46446999209862,-0.301091579361708,"tadeln","Art_02_S24","slow","en",-6.2027657386056
"10080",-1.47628614861177,-0.301091579361708,"zahn","Art_02_S24","slow","n",-7.59809213167495
"708993",-1.52928691890169,-0.235709675373325,"schlaf","Art_02_S24","slow","t",-6.75924304093769
"1034493",-1.46837392811718,-0.248448538867856,"latsch","Art_02_S24","slow","t",-7.14324727166644
"9974",-1.44317642330279,-0.497544235129248,"bad","Art_02_S24","slow","n",-5.41767949883663
"11413108",-1.41701735351786,0.463740305520543,"blas","Art_02_S24","slow","t",-7.50118211866689
"10018",-1.72871217759389,-0.268419253497915,"stapeln","Art_02_S24","slow","en",-5.92048517895446
"1229986",-1.50295313240359,0.518799745778411,"zahl","Art_02_S24","slow","t",-4.75377031078047
"10059",-1.57428944156318,-0.342476224538944,"zahl","Art_02_S24","slow","en",-4.27548008148666
"1830647",-1.46967597005899,-0.301091579361698,"mahn","Art_02_S24","slow","t",-5.54965032812455
"10103",-1.44246129786811,-0.637556717332444,"bad","Art_02_S24","fast","en",-5.41767949883663
"10159",-1.80925881185161,-0.696535519344425,"tadeln","Art_02_S24","fast","en",-6.2027657386056
"10175",-1.74421365231071,-0.562101374447778,"zahn","Art_02_S24","fast","en",-7.59809213167495
"10126",-1.69416104651905,-0.662994665090362,"schab","Art_02_S24","fast","n",-6.69772500301848
"585593",-1.6171596138239,-0.63485940468943,"mahn","Art_02_S24","fast","t",-5.54965032812455
"10144",-1.88703982580921,-0.43076753159542,"stapeln","Art_02_S24","fast","en",-5.92048517895446
"760494",-1.70003660219786,-0.63485940468943,"blas","Art_02_S24","fast","t",-7.50118211866689
"952496",-1.89711998488594,-0.544709934210965,"latsch","Art_02_S24","fast","t",-7.14324727166644
"1157596",-1.71702851898621,-0.653907236822344,"zahl","Art_02_S24","fast","t",-4.75377031078047
